"vehicle_id","上牌日期","车龄","行驶里程","车辆评分","车辆评级","成交日期","成交价格","业务类型","品牌","车系","车型","城市","是否火烧","是否水泡","是否事故","level_id","力扬指导价格"
433193,2019-07-02,6,6.0,"50",C,2025-10-29,67100,YL,日产,奇骏,日产 奇骏 2019款 2.5 无级 XL ITS 四驱智联豪华版,达州市,否,否,否,CDN1025C0100,"24.23"
482108,2009-06-05,16,15.0,"50",D,2025-10-29,7900,YL,现代,雅绅特,现代 雅绅特 2006款 1.4 手动 时尚型,郑州市,否,否,是,CBH0414M0081,"8.29"
459752,2016-01-21,9,5.9,"60",D,2025-10-29,3500,YL,风行,景逸,风行 景逸X3 2015款 1.5 手动 舒适型,郑州市,否,是,否,CDX0515M0103,"6.69"
476213,2015-10-28,10,13.84,"60",D,2025-10-29,4000,YL,奔腾,B50,奔腾 B50 2013款 1.6 手自一体 豪华型,西安市,否,否,是,CBE0216A0037,"10.48"
475390,2014-07-11,11,24.2,"60",D,2025-10-29,23200,YL,大众,迈腾,大众 迈腾 2013款 1.8TSI 双离合 豪华版,成都市,否,否,否,CFV0618D0038,"23.28"
475563,2017-06-15,8,5.9399999999999995,"80",B,2025-10-30,33000,YL,丰田,卡罗拉,丰田 卡罗拉 2017款 1.2T 无级 GL(改款),深圳市,否,否,否,CFT0712C0011,"11.98"
476644,2009-06-05,16,19.49,"30",C,2025-10-30,9000,YL,宝马,"5系",宝马 523Li 2009款 2.5 手自一体 标准型,唐山市,否,否,否,CBM0225A0046,"43.36"
482594,2015-01-04,10,9.9,"30",D,2025-10-30,3800,YL,东南,V3菱悦,东南 V3菱悦 2015款 1.5 手动 风采版,大连市,否,否,否,CSC0615M0112,"6.59"
482626,2014-12-02,11,7.2,"50",D,2025-10-30,30000,YL,日产,奇骏,日产 奇骏 2014款 2.0 无级 XL 两驱舒适版,大连市,否,否,否,CDN1020C0015,"19.68"
481653,2014-01-28,11,17.3,"50",C,2025-10-30,20500,YL,大众,迈腾,大众 迈腾 2012款 1.8TSI 双离合 舒适版,长春市,否,否,否,CFV0618D0021,"20.98"
473368,2020-10-29,5,7.5,"60",B,2025-10-30,45000,YL,比亚迪,唐,比亚迪 唐 2021款 2.0T 手自一体 旗舰型,深圳市,否,否,否,CBY1720A0050,"16.58"
482554,2017-03-30,8,8.74,"60",C,2025-10-30,25500,YL,日产,轩逸,日产 轩逸经典 2016款 1.6 自动 XE+ 领先版,大连市,否,否,否,CDN0416A0058,"11.23"
482174,2014-02-17,11,11.99,"30",D,2025-10-30,4000,YL,东南,V3菱悦,东南 V3菱悦 2014款 1.5 手动 幸福版,大连市,否,否,否,CSC0615M0094,"5.98"
423478,2009-05-05,16,14.14,"30",D,2025-10-30,7700,YL,日产,轩逸,日产 轩逸 2009款 1.6 自动 XE 舒适版,大连市,否,否,否,CDN0416A0024,"13.48"
482332,2014-09-19,11,13.18,"80",C,2025-10-30,39000,YL,宝马,"3系",宝马 320i 2014款 2.0T 手自一体 时尚型,深圳市,否,否,否,CBM0120A0071,"34.3"
482827,2012-12-06,13,19.6,"60",B,2025-10-30,16800,YL,丰田,卡罗拉,丰田 卡罗拉 2011款 1.6 自动 GL,深圳市,否,否,否,CFT0716A0009,"13.18"
482572,2011-08-22,14,15.0,"0n",ull,2025-10-30,3300,YL,丰田,卡罗拉,丰田 卡罗拉 2011款 1.8 无级 GL-i 纪念版,青岛市,否,否,否,CFT0718C0013,"15.18"
482533,2011-11-24,14,17.2,"0n",ull,2025-10-30,3900,YL,现代,索纳塔,现代 第八代索纳塔 2011款 2.0 手自一体 GLS 领先型,青岛市,否,否,否,CBH0120A0067,"17.99"
471272,2008-04-24,17,13.95,"30",D,2025-10-30,8200,YL,丰田,卡罗拉,丰田 卡罗拉 2007款 1.6 自动 GL,大连市,否,否,是,CFT0716A0001,"14.48"
482030,2011-09-23,14,18.49,"60",C,2025-10-30,13800,YL,日产,逍客,日产 逍客 2011款 2.0 无级 XV 龙 四驱,大连市,否,否,否,CDN0820C0052,"21.98"
482436,2010-03-29,15,20.0,"0n",ull,2025-10-30,4200,YL,现代,伊兰特,现代 伊兰特-三厢 2011款 1.6 手动 GL 舒适型,石家庄市,否,否,否,CBH0216M0067,"8.98"
481834,2016-07-07,9,11.5,"80",B,2025-10-30,40400,YL,大众,CC,大众 CC 2016款 2.0TSI 双离合 尊贵型,保定市,否,否,否,CFV0720D0043,"26.78"
