sample_idx,family_curve,allow_curve_fallback_curve,vehicle_name,brand,series,brand_series,grade,years,mileage_wan,city,actual_price,price_seg,age_seg,energy_type,mileage_bucket,price_extreme_bucket,success_curve,error_message_curve,new_price_curve,predicted_price_curve,residual_rate_curve,c2b_low_curve,c2b_high_curve,b2b_low_curve,b2b_high_curve,hit_c2b_curve,hit_b2b_curve,abs_error_curve,abs_pct_error_curve,debug_model_used_curve,debug_model_name_curve,debug_model_type_curve,debug_model_family_curve,debug_final_model_family_curve,debug_requested_model_family_curve,debug_fallback_triggered_curve,debug_fallback_reason_curve,family_lightgbm,allow_curve_fallback_lightgbm,success_lightgbm,error_message_lightgbm,new_price_lightgbm,predicted_price_lightgbm,residual_rate_lightgbm,c2b_low_lightgbm,c2b_high_lightgbm,b2b_low_lightgbm,b2b_high_lightgbm,hit_c2b_lightgbm,hit_b2b_lightgbm,abs_error_lightgbm,abs_pct_error_lightgbm,debug_model_used_lightgbm,debug_model_name_lightgbm,debug_model_type_lightgbm,debug_model_family_lightgbm,debug_final_model_family_lightgbm,debug_requested_model_family_lightgbm,debug_fallback_triggered_lightgbm,debug_fallback_reason_lightgbm,mape_diff,b2b_diff,case_type
1,curve,True,"中升车源
大众/途观/2010款 2.0T 自动 旗舰型四驱","中升车源
大众",途观,"中升车源
大众-途观",差,15.08,21.6331,杭州,0.94,<1万,>10年,燃油,高里程,极端低价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,,0,老车样本
2,curve,True,起亚/K3/2013款 1.6 手动 GLS,起亚,K3,起亚-K3,差,12.0,11.5814,苏州,0.65,<1万,>10年,燃油,高里程,极端低价,True,,11.48,1.11,0.0971,0.77,0.94,0.82,1.12,False,False,0.4600000000000001,70.76923076923077,brand_series,起亚-K3,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,11.48,0.91,0.0796,0.62,0.75,0.6,1.0,True,True,0.26,40.0,brand_series,起亚-K3,LightGBM,lightgbm,lightgbm,lightgbm,False,,-30.769230769230774,1,老车样本
4,curve,True,"中升车源
大众/桑塔纳/2015款 1.6 自动 舒适版","中升车源
大众",桑塔纳,"中升车源
大众-桑塔纳",差,11.25,13.7818,武汉,1.02,1-3万,>10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,,0,老车样本
7,curve,True,奔驰/C级/2011款 1.8T 自动 C200时尚型CGI,奔驰,C级,奔驰-C级,中,14.42,10.8959,苏州,1.9,1-3万,>10年,燃油,高里程,中间价,True,,38.8,1.5,0.0387,1.25,1.53,1.32,1.68,False,False,0.3999999999999999,21.052631578947363,brand_series,奔驰-C级,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,38.8,2.21,0.0568,1.88,2.29,1.98,2.42,True,False,0.31000000000000005,16.315789473684212,brand_series,奔驰-C级,LightGBM,lightgbm,lightgbm,lightgbm,False,,-4.73684210526315,0,老车样本
8,curve,True,大众/朗逸/2013款 1.6 自动 豪华版 改款,大众,朗逸,大众-朗逸,中,12.08,10.082,东莞,1.87,1-3万,>10年,燃油,低里程,中间价,True,,14.69,1.4,0.0951,1.15,1.42,1.23,1.57,False,False,0.4700000000000002,25.133689839572206,brand_series,大众-朗逸,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,14.69,1.39,0.0943,1.14,1.4,1.22,1.56,False,False,0.4800000000000002,25.66844919786097,brand_series,大众-朗逸,LightGBM,lightgbm,lightgbm,lightgbm,False,,0.5347593582887633,0,老车样本
38,curve,True,比亚迪/宋PLUS新能源/2025款 DM-i 智驾版 1.5L 自动 112KM 尊贵型,比亚迪,宋PLUS新能源,比亚迪-宋PLUS新能源,优,0.5,0.4523,宿迁,8.68,5-10万,0-3年,新能源,低里程,中间价,True,,17.58,9.47,0.5388,9.52,10.27,9.9,10.69,False,False,0.7900000000000009,9.101382488479274,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,17.58,9.63,0.5476,9.67,10.44,10.06,10.86,False,False,0.9500000000000011,10.944700460829505,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,,1.8433179723502313,0,新能源样本
47,curve,True,丰田/奕泽E进擎/2020款 E·智享版 纯电动,丰田,奕泽E进擎,丰田-奕泽E进擎,中,4.92,12.9198,杭州,5.08,5-10万,3-5年,新能源,高里程,中间价,True,,20.38,7.97,0.3911,7.01,8.27,7.3,8.61,False,False,2.8899999999999997,56.88976377952755,car_type,SUV-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,20.38,6.13,0.3009,5.37,6.39,5.59,6.65,False,False,1.0499999999999998,20.669291338582674,car_type,SUV-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,,-36.220472440944874,0,新能源样本
59,curve,True,比亚迪/宋PLUS新能源/2025款 DM-i 智驾版 1.5L 自动 112KM 尊贵型,比亚迪,宋PLUS新能源,比亚迪-宋PLUS新能源,优,0.17,0.0443,秦皇岛,9.35,5-10万,0-3年,新能源,低里程,中间价,True,,17.58,10.01,0.5692,10.06,10.85,10.46,11.28,False,False,0.6600000000000001,7.058823529411766,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,17.58,9.66,0.5494,9.71,10.47,10.09,10.89,False,False,0.3100000000000005,3.31550802139038,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,,-3.7433155080213862,0,新能源样本
60,curve,True,名爵/MG6新能源/2019款 1.5T 自动 50T Pro 混动,名爵,MG6新能源,名爵-MG6新能源,中,6.08,6.9629,上海,2.84,1-3万,5-8年,新能源,低里程,中间价,True,,13.98,3.48,0.2491,3.01,3.64,3.15,3.8,False,False,0.6400000000000001,22.53521126760564,car_type,轿车-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,13.98,3.0,0.2143,2.58,3.13,2.7,3.28,True,True,0.16000000000000014,5.633802816901413,car_type,轿车-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,,-16.901408450704224,1,新能源样本
93,curve,True,大众/探岳GTE/2020款 1.4T 自动 豪华型 混动,大众,探岳GTE,大众-探岳GTE,中,5.08,6.824,上海,6.4,5-10万,5-8年,新能源,低里程,中间价,True,,17.59,6.19,0.3519,5.42,6.45,5.64,6.71,True,True,0.20999999999999996,3.2812499999999996,car_type,轿车-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,17.59,6.14,0.3492,5.38,6.4,5.6,6.66,True,True,0.2600000000000007,4.062500000000011,car_type,轿车-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,,0.7812500000000111,0,新能源样本
3,curve,True,日产/LANNIA 蓝鸟/2020款 1.6 自动 智联智酷版,日产,LANNIA 蓝鸟,日产-LANNIA 蓝鸟,中,5.75,8.2533,南昌,4.0,3-5万,5-8年,燃油,低里程,中间价,True,,12.99,4.17,0.3209,3.62,4.36,3.78,4.54,True,True,0.16999999999999993,4.249999999999998,car_type,轿车-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,12.99,4.05,0.312,3.52,4.24,3.67,4.42,True,True,0.04999999999999982,1.2499999999999956,car_type,轿车-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,,-3.0000000000000027,0,lightgbm车型类别兜底样本
13,curve,True,比亚迪/宋Pro/2019款 1.5T 自动 精英型,比亚迪,宋Pro,比亚迪-宋Pro,中,5.67,7.1094,广州,3.76,3-5万,5-8年,燃油,低里程,中间价,True,,9.98,2.36,0.2367,2.02,2.46,2.13,2.59,False,False,1.4,37.234042553191486,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,9.98,2.44,0.2441,2.08,2.53,2.19,2.67,False,False,1.3199999999999998,35.1063829787234,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,,-2.1276595744680833,0,lightgbm车型类别兜底样本
19,curve,True,大众/宝来三厢/2013款 1.6 自动 时尚型,大众,宝来三厢,大众-宝来三厢,中,12.33,15.3206,张家口,1.52,1-3万,>10年,燃油,高里程,中间价,True,,11.93,1.39,0.1162,1.14,1.4,1.22,1.56,False,True,0.13000000000000012,8.552631578947375,car_type,轿车-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,11.93,1.4,0.117,1.15,1.41,1.23,1.57,False,True,0.1200000000000001,7.89473684210527,car_type,轿车-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,,-0.6578947368421053,0,lightgbm车型类别兜底样本
20,curve,True,马自达/马3昂克赛拉三厢/2017款 1.5 自动 豪华型 国VI,马自达,马3昂克赛拉三厢,马自达-马3昂克赛拉三厢,差,6.75,9.8587,成都,4.2,3-5万,5-8年,燃油,低里程,中间价,True,,19.98,5.37,0.2686,4.09,4.87,4.26,5.07,True,False,1.17,27.857142857142854,car_type,SUV-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,19.98,4.96,0.248,3.77,4.49,3.92,4.68,True,True,0.7599999999999998,18.095238095238088,car_type,SUV-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,,-9.761904761904766,1,lightgbm车型类别兜底样本
21,curve,True,长安/锐程CC/2021款 1.5T 自动 蓝鲸版尊贵型,长安,锐程CC,长安-锐程CC,差,5.0,5.901,合肥,3.74,3-5万,5-8年,燃油,低里程,中间价,True,,11.39,3.01,0.2646,2.24,2.71,2.35,2.83,False,False,0.7300000000000004,19.51871657754012,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,11.39,3.65,0.3208,2.74,3.3,2.86,3.44,False,False,0.0900000000000003,2.406417112299473,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,,-17.112299465240646,0,lightgbm车型类别兜底样本
