sample_idx,family_curve,allow_curve_fallback_curve,vehicle_name,brand,series,brand_series,grade,years,mileage_wan,city,actual_price,price_seg,age_seg,energy_type,mileage_bucket,price_extreme_bucket,success_curve,error_message_curve,new_price_curve,predicted_price_curve,residual_rate_curve,c2b_low_curve,c2b_high_curve,b2b_low_curve,b2b_high_curve,hit_c2b_curve,hit_b2b_curve,abs_error_curve,abs_pct_error_curve,debug_model_used_curve,debug_model_name_curve,debug_model_type_curve,debug_model_family_curve,debug_final_model_family_curve,debug_requested_model_family_curve,debug_fallback_triggered_curve,debug_fallback_reason_curve,family_lightgbm,allow_curve_fallback_lightgbm,success_lightgbm,error_message_lightgbm,new_price_lightgbm,predicted_price_lightgbm,residual_rate_lightgbm,c2b_low_lightgbm,c2b_high_lightgbm,b2b_low_lightgbm,b2b_high_lightgbm,hit_c2b_lightgbm,hit_b2b_lightgbm,abs_error_lightgbm,abs_pct_error_lightgbm,debug_model_used_lightgbm,debug_model_name_lightgbm,debug_model_type_lightgbm,debug_model_family_lightgbm,debug_final_model_family_lightgbm,debug_requested_model_family_lightgbm,debug_fallback_triggered_lightgbm,debug_fallback_reason_lightgbm
21,curve,True,长安/锐程CC/2021款 1.5T 自动 蓝鲸版尊贵型,长安,锐程CC,长安-锐程CC,差,5.0,5.901,合肥,3.74,3-5万,5-8年,燃油,低里程,中间价,True,,11.39,3.01,0.2646,2.24,2.71,2.35,2.83,False,False,0.7300000000000004,19.51871657754012,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,11.39,3.65,0.3208,2.74,3.3,2.86,3.44,False,False,0.0900000000000003,2.406417112299473,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
22,curve,True,别克/昂科拉/2014款 1.4T 自动 都市精英型前驱,别克,昂科拉,别克-昂科拉,中,12.08,15.7887,南通,1.08,1-3万,>10年,燃油,高里程,中间价,True,,15.99,0.99,0.0617,0.79,0.97,0.79,1.19,False,True,0.09000000000000008,8.33333333333334,brand_series,别克-昂科拉,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,15.99,0.83,0.0519,0.65,0.8,0.63,1.03,False,False,0.2500000000000001,23.148148148148156,brand_series,别克-昂科拉,LightGBM,lightgbm,lightgbm,lightgbm,False,
23,curve,True,奔腾/B50/2016款 1.6 手动 豪华型,奔腾,B50,奔腾-B50,中,9.17,6.3885,杭州,0.8,<1万,8-10年,燃油,低里程,极端低价,True,,8.58,0.61,0.071,0.45,0.55,0.41,0.81,False,True,0.19000000000000006,23.750000000000007,brand_series,奔腾-B50,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,8.58,0.76,0.0881,0.58,0.72,0.56,0.96,False,True,0.040000000000000036,5.000000000000004,brand_series,奔腾-B50,LightGBM,lightgbm,lightgbm,lightgbm,False,
24,curve,True,奥迪/Q5/2011款 2.0T 自动 TFSI舒适型,奥迪,Q5,奥迪-Q5,优,14.17,16.0815,西双版纳,2.5,1-3万,>10年,燃油,高里程,中间价,True,,47.58,2.8,0.0589,2.81,3.07,2.84,3.28,False,False,0.2999999999999998,11.999999999999993,brand_series,奥迪-Q5,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,47.58,2.76,0.058,2.76,3.03,2.79,3.23,False,False,0.2599999999999998,10.399999999999991,brand_series,奥迪-Q5,LightGBM,lightgbm,lightgbm,lightgbm,False,
25,curve,True,"中升车源
东风风光/风光500/2021款 1.5L 自动 优享型","中升车源
东风风光",风光500,"中升车源
东风风光-风光500",优,4.75,4.0597,沈阳,2.16,1-3万,3-5年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
26,curve,True,哈弗/哈弗H6/2015款 1.5T 手动 运动版精英型前驱 改款,哈弗,哈弗H6,哈弗-哈弗H6,差,10.08,15.7781,信阳,0.96,<1万,>10年,燃油,高里程,极端低价,True,,14.08,1.47,0.1046,1.05,1.28,1.11,1.47,False,False,0.51,53.125,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,14.08,0.77,0.0544,0.5,0.62,0.47,0.87,False,False,0.18999999999999995,19.791666666666664,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
27,curve,True,"中升车源
北汽幻速/H3/2015款 1.5 手动 豪华型","中升车源
北汽幻速",H3,"中升车源
北汽幻速-H3",优,10.08,13.9426,深圳,0.47,<1万,>10年,燃油,高里程,极端低价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
28,curve,True,丰田/卡罗拉/2013款 1.6 自动 GL至酷特装版,丰田,卡罗拉,丰田-卡罗拉,优,12.58,12.3499,沈阳,2.5,1-3万,>10年,燃油,高里程,中间价,True,,14.08,1.97,0.1402,1.95,2.15,1.92,2.4,False,False,0.53,21.200000000000003,brand_series,丰田-卡罗拉,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,14.08,1.93,0.1372,1.91,2.1,1.88,2.34,False,False,0.5700000000000001,22.800000000000004,brand_series,丰田-卡罗拉,LightGBM,lightgbm,lightgbm,lightgbm,False,
29,curve,True,宝马/3系/2017款 2.0T 自动 320Li时尚型,宝马,3系,宝马-3系,优,8.58,17.7801,苏州,6.47,5-10万,8-10年,燃油,高里程,中间价,True,,34.99,6.38,0.1825,6.42,6.97,6.69,7.26,True,False,0.08999999999999986,1.391035548686242,brand_series,宝马-3系,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,34.99,6.65,0.19,6.68,7.25,6.96,7.55,False,False,0.1800000000000006,2.782071097372498,brand_series,宝马-3系,LightGBM,lightgbm,lightgbm,lightgbm,False,
30,curve,True,"中升车源
日产/轩逸/2022款 1.6L 自动 XL悦享版","中升车源
日产",轩逸,"中升车源
日产-轩逸",中,3.33,7.1394,广州,6.1,5-10万,3-5年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
